index,term_number,knesset_num
אלול רפאל,1,13
אלול רפאל,2,14
אלון בנימין,1,14
אלון בנימין,2,15
אלון בנימין,3,16
אלון בנימין,4,17
אלון יגאל,1,3
אלון יגאל,2,4
אלון יגאל,3,5
אלון יגאל,4,6
אלון יגאל,5,7
אלון יגאל,6,8
אלון יגאל,7,9
אלוני שולמית,1,6
אלוני שולמית,2,8
אלוני שולמית,3,9
אלוני שולמית,4,10
אלוני שולמית,5,11
אלוני שולמית,6,12
אלוני שולמית,7,13
אלחרומי סעיד,1,20
אלחרומי סעיד,2,22
אלחרומי סעיד,3,23
אלחרומי סעיד,4,24
אלטמן אריה,1,2
אלטמן אריה,2,3
אלטמן אריה,3,4
אלטמן אריה,4,5
אליאב אריה לובה,1,6
אליאב אריה לובה,2,7
אליאב אריה לובה,3,8
אליאב אריה לובה,4,9
אליאב אריה לובה,5,12
אליהו שלמה,1,9
אליעד נסים,1,6
אליעד נסים,2,7
אליעד נסים,3,8
אלישר אליהו,1,1
אלישר אליהו,2,2
אלמוגי יוסף-אהרן,1,3
אלמוגי יוסף-אהרן,2,4
אלמוגי יוסף-אהרן,3,5
אלמוגי יוסף-אהרן,4,6
אלמוגי יוסף-אהרן,5,7
אלמוגי יוסף-אהרן,6,8
אלמליח אברהם,1,1
אלסאנע טלב,1,13
אלסאנע טלב,2,14
אלסאנע טלב,3,15
אלסאנע טלב,4,16
אלסאנע טלב,5,17
אלסאנע טלב,6,18
אלקין זאב,1,17
אלקין זאב,2,18
אלקין זאב,3,19
אלקין זאב,4,20
אלקין זאב,5,21
אלקין זאב,6,22
אלקין זאב,7,23
אלקין זאב,8,24
אמוראי עדיאל,1,7
אמוראי עדיאל,2,8
אמוראי עדיאל,3,9
אמוראי עדיאל,4,10
אמוראי עדיאל,5,11
אמיר יעקב ז`אק,1,8
אמיר יעקב ז`אק,2,9
אמיר יעקב ז`אק,3,10
אמיר יעקב ז`אק,4,11
אמסלם דוד,1,20
אמסלם דוד,2,21
אמסלם דוד,3,22
אמסלם דוד,4,23
אמסלם דוד,5,24
אמסלם חיים,1,17
אמסלם חיים,2,18
אנג`ל אורנה,1,16
אנקוריון ארי,1,5
אנקוריון ארי,2,6
אנקוריון ארי,3,7
אנקוריון ארי,4,8
אסא ירחמיאל,1,3
אסעד אסעד,1,13
אסעד שפיק,1,9
אסף עמי,1,1
אסף עמי,2,2
אסף עמי,3,3
אסף עמי,4,4
אסף עמי,5,5
אפללו אלי,1,16
אפללו אלי,2,17
אפללו אלי,3,18
אפרת אהרון,1,8
אפרתי יוסף,1,1
אפרתי יוסף,2,2
אפרתי יוסף,3,3
אפרתי יוסף,4,4
אפרתי יוסף,5,5
אקוניס אופיר,1,18
אקוניס אופיר,2,19
אקוניס אופיר,3,20
אקוניס אופיר,4,21
אקוניס אופיר,5,22
אקוניס אופיר,6,23
אקוניס אופיר,7,24
ארבל משה,1,21
ארבל משה,2,22
