index,term_number,knesset_num
הדר עמוס,1,8
הדר עמוס,2,9
הופמן רונן,1,19
הורביץ יגאל,1,7
הורביץ יגאל,2,8
הורביץ יגאל,3,9
הורביץ יגאל,4,10
הורביץ יגאל,5,11
הורביץ יגאל,6,12
הורוביץ הלל אילן,1,19
הורוביץ ניצן,1,18
הורוביץ ניצן,2,19
הורוביץ ניצן,3,22
הורוביץ ניצן,4,23
הורוביץ ניצן,5,24
הירשזון אברהם,1,10
הירשזון אברהם,2,13
הירשזון אברהם,3,14
הירשזון אברהם,4,15
הירשזון אברהם,5,16
הירשזון אברהם,6,17
הכהן דוד,1,1
הכהן דוד,2,2
הכהן דוד,3,3
הכהן דוד,4,4
הכהן דוד,5,5
הכהן דוד,6,6
הכהן מנחם,1,8
הכהן מנחם,2,9
הכהן מנחם,3,10
הכהן מנחם,4,11
הכרמלי אליהו,1,1
הכרמלי אליהו,2,2
הלוי בנימין,1,7
הלוי בנימין,2,8
הלוי בנימין,3,9
הלוי עמית,1,23
הלל שלמה,1,2
הלל שלמה,2,3
הלל שלמה,3,8
הלל שלמה,4,9
הלל שלמה,5,10
הלל שלמה,6,11
הלל שלמה,7,12
הלפרט שמואל,1,10
הלפרט שמואל,2,12
הלפרט שמואל,3,13
הלפרט שמואל,4,14
הלפרט שמואל,5,15
הלפרט שמואל,6,16
הלפרט שמואל,7,17
המר זבולון,1,7
המר זבולון,2,8
המר זבולון,3,9
המר זבולון,4,10
המר זבולון,5,11
המר זבולון,6,12
המר זבולון,7,13
המר זבולון,8,14
הן יחזקאל,1,2
הנגבי צחי,1,12
הנגבי צחי,2,13
הנגבי צחי,3,14
הנגבי צחי,4,15
הנגבי צחי,5,16
הנגבי צחי,6,17
הנגבי צחי,7,18
הנגבי צחי,8,19
הנגבי צחי,9,20
הנגבי צחי,10,21
הנגבי צחי,11,22
הנגבי צחי,12,23
הנגבי צחי,13,24
הנדל יועז,1,21
הנדל יועז,2,22
הנדל יועז,3,23
הנדל יועז,4,24
הנדל צבי,1,14
הנדל צבי,2,15
הנדל צבי,3,16
הנדל צבי,4,17
העצני אליקים,1,12
הקטין רות,1,3
הקטין רות,2,4
הקטין רות,3,5
הקטין רות,4,6
הראל אהרן,1,10
הראל אהרן,2,11
הראל איסר,1,7
הראל בן-ציון,1,2
הראל בן-ציון,2,3
הראל יהודה,1,14
הרינג זאב,1,7
הרליץ אסתר,1,8
הרליץ אסתר,2,9
הרמן זינה,1,7
הרפז נטע,1,1
הרצוג חיים,1,10
הרצוג יצחק,1,16
הרצוג יצחק,2,17
הרצוג יצחק,3,18
הרצוג יצחק,4,19
הרצוג יצחק,5,20
הרצפלד אברהם,1,1
הרצפלד אברהם,2,2
הרצפלד אברהם,3,3
הרצפלד אברהם,4,4
הרצפלד אברהם,5,5
הררי יזהר,1,1
הררי יזהר,2,2
הררי יזהר,3,3
הררי יזהר,4,4
הררי יזהר,5,5
הררי יזהר,6,6
הררי יזהר,7,7
הרשקוביץ דניאל,1,18
השכל שרן מרים,1,20
השכל שרן מרים,2,21
השכל שרן מרים,3,22
השכל שרן מרים,4,23
השכל שרן מרים,5,24
ואטורי ניסים,1,23
והבה מגלי,1,16
והבה מגלי,2,17
והבה מגלי,3,18
וולדיגר מיכל מרים,1,24
וונש מיכל,1,23
וורצמן אבי,1,19
וורצמן אבי,2,20
ויינברג צבי,1,14
וייס שבח,1,10
וייס שבח,2,11
וייס שבח,3,12
וייס שבח,4,13
וייס שבח,5,14
וילן אבשלום,1,15
וילן אבשלום,2,16
וילן אבשלום,3,17
וילנאי מתן,1,15
וילנאי מתן,2,16
וילנאי מתן,3,17
וילנאי מתן,4,18
וילנסקה אסתר,1,2
וילנסקה אסתר,2,3
וילנסקה אסתר,3,5
וילנר מאיר,1,1
וילנר מאיר,2,2
וילנר מאיר,3,3
וילנר מאיר,4,4
וילנר מאיר,5,5
וילנר מאיר,6,6
וילנר מאיר,7,7
וילנר מאיר,8,8
וילנר מאיר,9,9
וילנר מאיר,10,10
וילנר מאיר,11,11
וילנר מאיר,12,12
וילף עינת,1,18
וינשטיין אריאל,1,10
וינשטיין אריאל,2,11
וינשטיין אריאל,3,12
וינשטיין אריאל,4,13
ויצמן עזר,1,9
ויצמן עזר,2,11
ויצמן עזר,3,12
וירשובסקי מרדכי,1,9
וירשובסקי מרדכי,2,10
וירשובסקי מרדכי,3,11
וירשובסקי מרדכי,4,12
ולדמן אליעזר,1,11
ולדמן אליעזר,2,12
ונונו יוסף,1,13
וסרמן לנדה רות,1,23
וסרמן לנדה רות,2,24
וקנין יצחק,1,14
וקנין יצחק,2,15
וקנין יצחק,3,16
וקנין יצחק,4,17
וקנין יצחק,5,18
וקנין יצחק,6,19
וקנין יצחק,7,20
ורדיגר אברהם,1,6
ורדיגר אברהם,2,7
ורדיגר אברהם,3,8
ורדיגר אברהם,4,11
ורדיגר אברהם,5,12
ורדיגר אברהם,6,13
ורהפטיג זרח,1,1
ורהפטיג זרח,2,2
ורהפטיג זרח,3,3
ורהפטיג זרח,4,4
ורהפטיג זרח,5,5
ורהפטיג זרח,6,6
ורהפטיג זרח,7,7
ורהפטיג זרח,8,8
ורהפטיג זרח,9,9
ורטהיימר זאב,1,9
ורטמן משה,1,6
ורטמן משה,2,7
ורטמן משה,3,8
ותד מוחמד,1,10
ותד מוחמד,2,11
ז'בוטינסקי ערי,1,1
זאב נסים,1,15
זאב נסים,2,16
זאב נסים,3,17
זאב נסים,4,18
זאב נסים,5,19
זאבי רחבעם,1,12
זאבי רחבעם,2,13
זאבי רחבעם,3,14
זאבי רחבעם,4,15
זוארץ אורית,1,18
זוארץ פריג`א,1,3
זוארץ פריג`א,2,4
זוארץ פריג`א,3,5
זוארץ פריג`א,4,6
זוהר מכלוף מיקי,1,20
זוהר מכלוף מיקי,2,21
זוהר מכלוף מיקי,3,22
זוהר מכלוף מיקי,4,23
זוהר מכלוף מיקי,5,24
זוילי נסים,1,13
זוילי נסים,2,14
זועבי חנין,1,18
זועבי חנין,2,19
זועבי חנין,3,20
זורע מאיר,1,9
זחאלקה ג`מאל,1,16
זחאלקה ג`מאל,2,17
זחאלקה ג`מאל,3,18
זחאלקה ג`מאל,4,19
זחאלקה ג`מאל,5,20
זיאד תאופיק,1,8
זיאד תאופיק,2,9
זיאד תאופיק,3,10
זיאד תאופיק,4,11
זיאד תאופיק,5,12
זיאד תאופיק,6,13
זיגר יצחק,1,10
זיגר יצחק,2,11
זיו יצחק,1,17
זייגרמן דרור,1,10
זיידל הלל,1,8
זיידל הלל,2,9
זילברברג אברהם,1,7
זילברברג אברהם,2,8
זיסמן עמנואל,1,12
זיסמן עמנואל,2,13
זיסמן עמנואל,3,14
זיסמן שלום,1,2
זכאי יחזקאל,1,9
זכאי יחזקאל,2,10
זכור עבאס,1,17
זכין דב,1,7
זכין דב,2,8
זכין דב,3,10
זמיר אסף,1,21
זמיר אסף,2,22
זמיר אסף,3,23
זנדברג אליעזר,1,13
זנדברג אליעזר,2,14
זנדברג אליעזר,3,15
זנדברג אליעזר,4,16
זנדברג תמר,1,19
זנדברג תמר,2,20
זנדברג תמר,3,21
זנדברג תמר,4,22
זנדברג תמר,5,23
זנדברג תמר,6,24
זר מרדכי,1,4
זר מרדכי,2,5
זר מרדכי,3,6
זר מרדכי,4,7
ח'טיב יאסין אימאן,1,23
ח'טיב תאופיק,1,14
ח'טיב תאופיק,2,15
ח`מיס יוסוף,1,3
ח`מיס יוסוף,2,4
ח`מיס יוסוף,3,5
ח`ניפס סאלח-חסן,1,2
ח`ניפס סאלח-חסן,2,3
חאג` יחיא ווליד,1,9
חאג` יחיא ווליד,2,13
חאג` יחיא ווליד,3,14
חאג` יחיא עבד אלחכים,1,20
חאג` יחיא עבד אלחכים,2,21
חאג` יחיא רפיק,1,14
חביבי אמיל,1,2
חביבי אמיל,2,3
חביבי אמיל,3,5
חביבי אמיל,4,6
חביבי אמיל,5,7
חג'אזי אבראהים,1,20
חדד חנא,1,13
חוגי עופר,1,15
חוגי עופר,2,16
חוטובלי ציפי,1,18
חוטובלי ציפי,2,19
חוטובלי ציפי,3,20
חוטובלי ציפי,4,21
חוטובלי ציפי,5,22
חוטובלי ציפי,6,23
חושי אבא,1,1
חזן אורן אסף,1,20
חזן יחיאל,1,16
חזן יעקב,1,1
חזן יעקב,2,2
חזן יעקב,3,3
חזן יעקב,4,4
חזן יעקב,5,5
חזן יעקב,6,6
חזן יעקב,7,7
חזן נעמי,1,13
חזן נעמי,2,14
חזן נעמי,3,15
חזני יעקב מיכאל,1,2
חזני יעקב מיכאל,2,3
חזני יעקב מיכאל,3,4
חזני יעקב מיכאל,4,5
חזני יעקב מיכאל,5,6
חזני יעקב מיכאל,6,7
חזני יעקב מיכאל,7,8
חיימוביץ' מיקי,1,21
חיימוביץ' מיקי,2,22
חיימוביץ' מיקי,3,23
חילו נאדיה,1,17
חלאילה חמד,1,10
חלפון בן-ציון,1,7
חלפון בן-ציון,2,8
חמדאן פארס,1,2
חמדאן פארס,2,3
חן רשף,1,16
חנין דב,1,17
חנין דב,2,18
חנין דב,3,19
חנין דב,4,20
חסון אכרם,1,18
חסון אכרם,2,20
חסון יואל,1,17
חסון יואל,2,18
חסון יואל,3,20
חסון ישראל,1,17
חסון ישראל,2,18
חסון ישראל,3,19
חסיד אליהו,1,23
חסין אשר,1,4
חסין אשר,2,5
חסין אשר,3,6
חריף משה,1,10
חריש מיכאל,1,8
חריש מיכאל,2,9
חריש מיכאל,3,10
חריש מיכאל,4,11
חריש מיכאל,5,12
חריש מיכאל,6,13
חרמש שי,1,17
חרמש שי,2,18
חשאי יהודה,1,9
חשאי יהודה,2,10
חת נחום,1,2
טאהא ואסל,1,16
טאהא ואסל,2,17
טאהא ווליד,1,22
טאהא ווליד,2,23
טאהא ווליד,3,24
טביב אברהם,1,1
טבנקין יצחק,1,1
טבנקין יצחק,2,3
טברסקי ז`ניה,1,1
טברסקי ז`ניה,2,2
טברסקי ז`ניה,3,3
טברסקי ז`ניה,4,4
טברסקי ז`ניה,5,5
טובי תופיק,1,1
טובי תופיק,2,2
טובי תופיק,3,3
טובי תופיק,4,4
טובי תופיק,5,5
טובי תופיק,6,6
טובי תופיק,7,7
טובי תופיק,8,8
טובי תופיק,9,9
טובי תופיק,10,10
טובי תופיק,11,11
טובי תופיק,12,12
טולידנו שמואל,1,9
טופורובסקי בועז,1,19
טופורובסקי בועז,2,21
טופורובסקי בועז,3,22
טופורובסקי בועז,4,23
טופורובסקי בועז,5,24
טור פז משה,1,23
טיאר אברהם,1,5
טיאר אברהם,2,6
טיבי אחמד,1,15
טיבי אחמד,2,16
טיבי אחמד,3,17
טיבי אחמד,4,18
טיבי אחמד,5,19
טיבי אחמד,6,20
טיבי אחמד,7,21
טיבי אחמד,8,22
טיבי אחמד,9,23
טיבי אחמד,10,24
טיבייב רוברט,1,18
טיבייב רוברט,2,20
טייב יוסף,1,23
טייב יוסף,2,24
טל אלון,1,24
טל דוד,1,14
טל דוד,2,15
טל דוד,3,16
טל דוד,4,17
טמקין בנימין,1,13
טסלר יעקב,1,21
טסלר יעקב,2,22
טסלר יעקב,3,23
טסלר יעקב,4,24
טרופר חילי,1,21
טרופר חילי,2,22
טרופר חילי,3,23
טרופר חילי,4,24
טרטמן אסתרינה,1,16
טרטמן אסתרינה,2,17
טריף סאלח,1,12
טריף סאלח,2,13
טריף סאלח,3,14
טריף סאלח,4,15
טריף סאלח,5,16
טרכטנברג מנואל,1,20
יאסינוב יגאל,1,16
יברקן דסטה גדי,1,21
יברקן דסטה גדי,2,22
יברקן דסטה גדי,3,23
יברקן דסטה גדי,4,24
יגורי אסף,1,9
ידיד מנחם,1,6
ידיד מנחם,2,7
ידיד מנחם,3,8
ידין יגאל,1,9
ידלין אהרן,1,4
ידלין אהרן,2,5
ידלין אהרן,3,6
ידלין אהרן,4,7
ידלין אהרן,5,8
ידלין אהרן,6,9
יהב יונה,1,14
יהודה חיים,1,3
יהודה חיים,2,4
יהודה צבי,1,1
יהלום שאול,1,13
יהלום שאול,2,14
יהלום שאול,3,15
יהלום שאול,4,16
יוגב מטי,1,23
יוגב מרדכי,1,19
יוגב מרדכי,2,20
יוגב מרדכי,3,21
יוגב מרדכי,4,22
יונה יוסי,1,20
יוניצ`מן שמשון,1,3
יוניצ`מן שמשון,2,4
יונס ואאל,1,20
יוסף דב,1,1
יוסף דב,2,2
יוסף דב,3,3
יוסף יעקב,1,11
יוספטל גיורא,1,4
יוספטל גיורא,2,5
יוספטל סנטה,1,3
יוספטל סנטה,2,8
יזבק היבה,1,21
יזבק היבה,2,22
יזבק היבה,3,23
יחזקאל אברהם,1,13
יחזקאל אברהם,2,14
יחזקאל אברהם,3,15
יחזקאל אברהם,4,16
יחימוביץ` שלי,1,17
יחימוביץ` שלי,2,18
יחימוביץ` שלי,3,19
יחימוביץ` שלי,4,20
יחימוביץ` שלי,5,21
ילין-מור נתן,1,1
ילין חיים,1,20
ינקלביץ' עומר,1,21
ינקלביץ' עומר,2,22
ינקלביץ' עומר,3,23
יעלון משה,1,18
יעלון משה,2,19
יעלון משה,3,20
יעלון משה,4,21
יעלון משה,5,22
יעלון משה,6,23
יעקבי גד,1,7
יעקבי גד,2,8
יעקבי גד,3,9
יעקבי גד,4,10
יעקבי גד,5,11
יעקבי גד,6,12
יערי מאיר,1,1
יערי מאיר,2,2
יערי מאיר,3,3
יערי מאיר,4,4
יערי מאיר,5,5
יערי מאיר,6,6
יערי מאיר,7,7
יפה אביעד,1,7
יפה אביעד,2,8
יפה אברהם,1,8
יפרח יהונתן,1,7
יצחק-הלוי מאיר,1,24
יצחקי אביגדור,1,17
יצחקי יצחק,1,9
יציב גדי,1,11
יריב אהרן,1,8
ישי אליהו,1,14
ישי אליהו,2,15
ישי אליהו,3,16
ישי אליהו,4,17
ישי אליהו,5,18
ישי אליהו,6,19
ישעיהו-שרעבי ישראל,1,1
ישעיהו-שרעבי ישראל,2,2
ישעיהו-שרעבי ישראל,3,3
ישעיהו-שרעבי ישראל,4,4
ישעיהו-שרעבי ישראל,5,5
ישעיהו-שרעבי ישראל,6,6
ישעיהו-שרעבי ישראל,7,7
ישעיהו-שרעבי ישראל,8,8
יתום אהוד,1,16
יתום דני,1,16
יתום דני,2,17
כ”ץ-עוז אברהם,1,9
כ”ץ-עוז אברהם,2,10
כ”ץ-עוז אברהם,3,11
כ”ץ-עוז אברהם,4,12
כ”ץ-עוז אברהם,5,13
כ”ץ יעקב,1,18
כבל איתן,1,14
כבל איתן,2,15
כבל איתן,3,16
כבל איתן,4,17
כבל איתן,5,18
כבל איתן,6,19
כבל איתן,7,20
כהן-אבידב מאיר,1,8
כהן-אבידב מאיר,2,9
כהן-אבידב מאיר,3,10
כהן-אבידב מאיר,4,11
כהן-אורגד יגאל,1,9
כהן-אורגד יגאל,2,10
כהן-אורגד יגאל,3,11
כהן-כגן רחל,1,1
כהן-כגן רחל,2,5
כהן-מגורי חיים,1,1
כהן-מגורי חיים,2,2
כהן-מגורי חיים,3,3
כהן-מגורי חיים,4,4
כהן-מגורי חיים,5,5
כהן-מגורי חיים,6,6
כהן-צידון שלמה,1,6
כהן אידוב,1,1
כהן אידוב,2,2
כהן אידוב,3,3
כהן אידוב,4,4
כהן אידוב,5,5
כהן אילנה,1,16
כהן אלי,1,15
כהן אלי אליהו,1,20
כהן אלי אליהו,2,21
כהן אלי אליהו,3,22
כהן אלי אליהו,4,23
כהן אלי אליהו,5,24
כהן אליעזר,1,15
כהן אליעזר,2,16
כהן אמנון,1,15
כהן אמנון,2,16
כהן אמנון,3,17
כהן אמנון,4,18
כהן אמנון,5,19
כהן בנו,1,5
כהן גאולה,1,8
כהן גאולה,2,9
כהן גאולה,3,10
כהן גאולה,4,11
כהן גאולה,5,12
כהן גבריאל,1,6
כהן יגאל,1,8
כהן יגאל,2,9
כהן יגאל,3,10
כהן יגאל,4,11
כהן יגאל,5,12
כהן יוחנן,1,3
כהן יעקב,1,17
כהן יצחק,1,14
כהן יצחק,2,15
כהן יצחק,3,16
כהן יצחק,4,17
כהן יצחק,5,18
כהן יצחק,6,19
כהן יצחק,7,20
כהן יצחק,8,21
כהן יצחק,9,22
כהן יצחק,10,23
כהן מאיר,1,19
כהן מאיר,2,20
כהן מאיר,3,21
כהן מאיר,4,22
כהן מאיר,5,23
כהן מאיר,6,24
כהן מירב,1,21
כהן מירב,2,22
כהן מירב,3,23
כהן מירב,4,24
כהן מנחם,1,1
כהן מנחם,2,4
כהן מנחם,3,5
כהן מנחם,4,6
כהן מנחם,5,7
כהן פארן יעל,1,20
כהן רן,1,11
כהן רן,2,12
כהן רן,3,13
כהן רן,4,14
כהן רן,5,15
כהן רן,6,16
כהן רן,7,17
כהן רענן,1,12
כהן רענן,2,13
כהן רענן,3,14
כהן רענן,4,15
כהן שלום,1,7
כהנא מאיר,1,11
כהנא מתן,1,22
כהנא מתן,2,23
כהנא מתן,3,24
כהנא קלמן,1,1
כהנא קלמן,2,2
כהנא קלמן,3,3
כהנא קלמן,4,4
כהנא קלמן,5,5
כהנא קלמן,6,6
כהנא קלמן,7,7
כהנא קלמן,8,8
כהנא קלמן,9,9
כחלון משה,1,16
כחלון משה,2,17
כחלון משה,3,18
כחלון משה,4,20
כחלון משה,5,21
כחלון משה,6,22
כלפה זבולון,1,19
כלפון אברהם,1,2
כמאל מריח ע'דיר,1,21
כמאל מריח ע'דיר,2,22
כמאל מריח ע'דיר,3,23
כנוביץ` שמעון,1,4
כנעאן מוחמד,1,15
כנפו ענת,1,23
כסה יונה,1,1
כסה יונה,2,2
כסה יונה,3,3
כסה יונה,4,4
כסה יונה,5,5
כסיף עופר,1,21
כסיף עופר,2,22
כסיף עופר,3,23
כסיף עופר,4,24
כפרית שרה,1,2
כפרית שרה,2,3
כץ אברהם,1,7
כץ אברהם,2,8
כץ אברהם,3,9
כץ אופיר,1,21
כץ אופיר,2,22
כץ אופיר,3,23
כץ אופיר,4,24
כץ זאב,1,9
כץ חיים,1,15
כץ חיים,2,16
כץ חיים,3,17
כץ חיים,4,18
כץ חיים,5,19
כץ חיים,6,20
כץ חיים,7,21
כץ חיים,8,22
כץ חיים,9,23
כץ חיים,10,24
כץ יוסי,1,13
כץ יוסי,2,14
כץ יוסי,3,15
כץ ישראל,1,14
כץ ישראל,2,15
כץ ישראל,3,16
כץ ישראל,4,17
כץ ישראל,5,18
כץ ישראל,6,19
כץ ישראל,7,20
כץ ישראל,8,21
כץ ישראל,9,22
כץ ישראל,10,23
כץ ישראל,11,24
כץ רון,1,24
כץ שמואל,1,1
כצנלסון בת-שבע,1,2
כרמל משה,1,3
כרמל משה,2,4
כרמל משה,3,5
כרמל משה,4,6
כרמל משה,5,7
כרמל משה,6,8
לבון פנחס,1,1
לבון פנחס,2,2
לבון פנחס,3,3
לבון פנחס,4,4
לביא עליזה,1,19
לביא עליזה,2,20
לביא שלמה,1,1
לביא שלמה,2,2
לבנבראון אברהם,1,7
לבנבראון אברהם,2,8
לבנבראון אברהם,3,9
לבני איתן,1,8
לבני איתן,2,9
לבני איתן,3,10
לבני אתי,1,16
לבני ציפי,1,15
לבני ציפי,2,16
לבני ציפי,3,17
לבני ציפי,4,18
לבני ציפי,5,19
לבני ציפי,6,20
לבנת לימור,1,12
לבנת לימור,2,13
לבנת לימור,3,14
לבנת לימור,4,15
לבנת לימור,5,16
לבנת לימור,6,17
לבנת לימור,7,18
לבנת לימור,8,19
להב הרצנו יוראי,1,21
להב הרצנו יוראי,2,22
להב הרצנו יוראי,3,23
להב הרצנו יוראי,4,24
לובוצקי אלכסנדר,1,14
לובלסקי מאשה,1,13
לוונשטיין מאיר דוד,1,1
לוז קדיש,1,2
לוז קדיש,2,3
לוז קדיש,3,4
לוז קדיש,4,5
לוז קדיש,5,6
לוי אבקסיס אורלי,1,18
לוי אבקסיס אורלי,2,19
לוי אבקסיס אורלי,3,20
לוי אבקסיס אורלי,4,22
לוי אבקסיס אורלי,5,23
לוי אבקסיס אורלי,6,24
לוי דוד,1,7
לוי דוד,2,8
לוי דוד,3,9
לוי דוד,4,10
לוי דוד,5,11
לוי דוד,6,12
לוי דוד,7,13
לוי דוד,8,14
לוי דוד,9,15
לוי דוד,10,16
לוי דניאל יצחק,1,6
לוי דניאל יצחק,2,7
לוי ז`קי,1,20
לוי יאיר,1,12
לוי יצחק,1,12
לוי יצחק,2,13
לוי יצחק,3,14
לוי יצחק,4,15
לוי יצחק,5,16
לוי יצחק,6,17
לוי מיקי,1,19
לוי מיקי,2,20
לוי מיקי,3,21
לוי מיקי,4,22
לוי מיקי,5,23
לוי מיקי,6,24
לוי מקסים,1,14
לוי מקסים,2,15
לוי סטלה,1,9
לוין יצחק מאיר,1,1
לוין יצחק מאיר,2,2
לוין יצחק מאיר,3,3
לוין יצחק מאיר,4,4
לוין יצחק מאיר,5,5
לוין יצחק מאיר,6,6
לוין יצחק מאיר,7,7
לוין יריב,1,18
לוין יריב,2,19
לוין יריב,3,20
לוין יריב,4,21
לוין יריב,5,22
לוין יריב,6,23
לוין יריב,7,24
לוין נחום,1,3
לוין נחום,2,4
לוין נחום,3,5
לוין שלום,1,7
לוין שלום,2,8
לוקר ברל,1,3
לורינץ שלמה,1,2
לורינץ שלמה,2,3
לורינץ שלמה,3,4
לורינץ שלמה,4,5
לורינץ שלמה,5,6
לורינץ שלמה,6,7
לורינץ שלמה,7,8
לורינץ שלמה,8,9
לורינץ שלמה,9,10
ליבאי דוד,1,11
ליבאי דוד,2,12
ליבאי דוד,3,13
ליבאי דוד,4,14
ליבוביץ אילן,1,16
ליבנה אליעזר,1,1
ליבנה אליעזר,2,2
ליברמן אביגדור,1,15
ליברמן אביגדור,2,16
ליברמן אביגדור,3,17
ליברמן אביגדור,4,18
ליברמן אביגדור,5,19
ליברמן אביגדור,6,20
ליברמן אביגדור,7,21
ליברמן אביגדור,8,22
ליברמן אביגדור,9,23
ליברמן אביגדור,10,24
ליבשיץ דוד,1,1
ליבשיץ דוד,2,2
ליבשיץ דוד,3,3
ליטינצקי לאון,1,17
ליטינצקי לאון,2,19
לייזרזון אברהם,1,14
לין אוריאל,1,11
לין אוריאל,2,12
לין אמנון,1,6
לין אמנון,2,8
לין אמנון,3,9
לין אמנון,4,10
לין אמנון,5,11
לינקר ציטה,1,8
ליפמן דב,1,19
ליפקין-שחק אמנון,1,15
ליצמן יעקב,1,15
ליצמן יעקב,2,16
ליצמן יעקב,3,17
ליצמן יעקב,4,18
ליצמן יעקב,5,19
ליצמן יעקב,6,20
ליצמן יעקב,7,21
ליצמן יעקב,8,22
ליצמן יעקב,9,23
ליצמן יעקב,10,24
לם יוסף מיכאל,1,1
למדן חנה,1,1
למדן חנה,2,2
למדן חנה,3,3
למדן חנה,4,4
למדן חנה,5,5
לנגנטל נחום,1,15
לנדאו חיים,1,1
לנדאו חיים,2,2
לנדאו חיים,3,3
לנדאו חיים,4,4
לנדאו חיים,5,5
לנדאו חיים,6,6
לנדאו חיים,7,7
לנדאו חיים,8,8
לנדאו עוזי,1,11
לנדאו עוזי,2,12
לנדאו עוזי,3,13
לנדאו עוזי,4,14
לנדאו עוזי,5,15
לנדאו עוזי,6,16
לנדאו עוזי,7,18
לנדאו עוזי,8,19
לנדבר סופה,1,14
לנדבר סופה,2,15
לנדבר סופה,3,16
לנדבר סופה,4,17
לנדבר סופה,5,18
לנדבר סופה,6,19
לנדבר סופה,7,20
לנקין אליהו,1,1
לנקרי יהודה,1,14
לס יורם,1,13
לסקוב צפורה,1,3
לסקי גבי,1,24
לסרי יחיאל,1,15
לפיד יאיר,1,19
לפיד יאיר,2,20
לפיד יאיר,3,21
לפיד יאיר,4,22
לפיד יאיר,5,23
לפיד יאיר,6,24
לפיד יוסף,1,15
לפיד יוסף,2,16
לקט יחיאל,1,8
מאור ענת,1,13
מאור ענת,2,14
מאור ענת,3,15
מאיה משה,1,13
מאיר גולדה,1,1
מאיר גולדה,2,2
מאיר גולדה,3,3
מאיר גולדה,4,4
מאיר גולדה,5,5
מאיר גולדה,6,6
מאיר גולדה,7,7
מאיר גולדה,8,8
מאסלה אדיסו,1,14
מארק אוסנת הילה,1,20
מארק אוסנת הילה,2,21
מארק אוסנת הילה,3,23
מג`אדלה ראלב,1,16
מג`אדלה ראלב,2,17
מג`אדלה ראלב,3,18
מג`אדלה ראלב,4,19
מגל ינון,1,20
מגן דוד,1,10
מגן דוד,2,11
מגן דוד,3,12
מגן דוד,4,13
מגן דוד,5,14
מגן דוד,6,15
מגן תלם לימור,1,24
מואב בועז,1,8
מואטי אמילי חיה,1,24
מודעי יצחק,1,8
מודעי יצחק,2,9
מודעי יצחק,3,10
מודעי יצחק,4,11
מודעי יצחק,5,12
מוויס חנא,1,9
מוזס מנחם אליעזר,1,18
מוזס מנחם אליעזר,2,19
מוזס מנחם אליעזר,3,20
מויאל אליהו,1,8
מויאל אליהו,2,9
מולא פטין,1,21
מולא פטין,2,23
מולא פטין,3,24
מולה שלמה,1,17
מולה שלמה,2,18
מועדי ג`בר,1,2
מועדי ג`בר,2,3
מועדי ג`בר,3,5
מועדי ג`בר,4,6
מועדי ג`בר,5,7
מועדי ג`בר,6,8
מועדי ג`בר,7,9
מועלם-רפאלי שולי,1,19
מועלם-רפאלי שולי,2,20
מופז שאול,1,17
מופז שאול,2,18
מופז שאול,3,19
מור דוד,1,11
מזוז ירון,1,20
מזור אליהו,1,1
מזרחי אליעזר,1,12
מזרחי יעקב,1,7
מזרחי משה,1,19
מזרחי משה,2,20
מזרסקי טטיאנה,1,24
מח`ול עסאם,1,15
מח`ול עסאם,2,16
מחאמיד האשם,1,12
מחאמיד האשם,2,13
מחאמיד האשם,3,14
מחאמיד האשם,4,15
מטלון משה מוץ,1,18
מיכאלי אברהם,1,17
מיכאלי אברהם,2,18
מיכאלי אברהם,3,19
מיכאלי אנסטסיה,1,18
מיכאלי מרב,1,19
מיכאלי מרב,2,20
מיכאלי מרב,3,21
מיכאלי מרב,4,22
מיכאלי מרב,5,23
מיכאלי מרב,6,24
מילוא רוני,1,9
מילוא רוני,2,10
מילוא רוני,3,11
מילוא רוני,4,12
מילוא רוני,5,13
מילוא רוני,6,15
מילמן דב,1,7
מילר אלכס,1,17
מילר אלכס,2,18
מילר אלכס,3,19
מימון יהודה לייב,1,1
מימון עדה,1,1
מימון עדה,2,2
מינץ בנימין,1,1
מינץ בנימין,2,2
מינץ בנימין,3,3
מינץ בנימין,4,4
מיסז`ניקוב סטס,1,17
מיסז`ניקוב סטס,2,18
מיעארי מוחמד,1,11
מיעארי מוחמד,2,12
מיקוניס שמואל,1,1
מיקוניס שמואל,2,2
מיקוניס שמואל,3,3
מיקוניס שמואל,4,4
מיקוניס שמואל,5,5
מיקוניס שמואל,6,6
מיקוניס שמואל,7,7
מירום חגי,1,12
מירום חגי,2,13
מירום חגי,3,14
מלול רחמים,1,15
מלינובסקי יוליה,1,20
מלינובסקי יוליה,2,21
מלינובסקי יוליה,3,22
מלינובסקי יוליה,4,23
מלינובסקי יוליה,5,24
מלכיאור מיכאל,1,15
מלכיאור מיכאל,2,16
מלכיאור מיכאל,3,17
מלכיאלי מיכאל,1,20
מלכיאלי מיכאל,2,21
מלכיאלי מיכאל,3,22
מלכיאלי מיכאל,4,23
מלכיאלי מיכאל,5,24
מלמד אברהם,1,7
מלמד אברהם,2,8
מלמד אברהם,3,9
מלמד אברהם,4,10
מנע דוד,1,13
מנע דוד,2,16
מסאלחה נואף,1,12
מסאלחה נואף,2,13
מסאלחה נואף,3,14
מסאלחה נואף,4,15
מעוז אביגדור,1,24
מצא יהושע,1,11
מצא יהושע,2,12
מצא יהושע,3,13
מצא יהושע,4,14
מצא יהושע,5,15
מצנע עמרם,1,16
מצנע עמרם,2,19
